"find_number","material_category","material","weight_in_grams","object_name","object_part","start_date","end_date","minimum_level_height","maximum_level_height","level_1_of_the_functional_classification","level_2_of_the_functional_classification","level_3_of_the_functional_classification","level_4_of_the_functional_classification","glass_deventer_system_code","glass_colour","glass_location_of_production","glass_rim_eve_estimated_vessel_equivalent","glass_base_eve_estimated_vessel_equivalent","glass_reconstructed_object_diameter_in_mm","glass_reconstructed_object_height_in_mm","glass_decoration","glass_mark"
"NZD1.00397GLS021","GLS","glass",33.00,"bottle",NULL,1900,2000,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00397GLS022","GLS","glass",369.00,"wine bottle",NULL,1675,1775,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,35,NULL,NULL,NULL,NULL
"NZD1.00400GLS001","GLS","glass: colourless",2.00,"window glass",NULL,1500,1800,-7.21,-8.99,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","colourless, with a hint of green","Netherlands",NULL,NULL,NULL,NULL,"stained",NULL
"NZD1.00400GLS002","GLS","glass",18.00,"wine bottle",NULL,1690,1740,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",40.00,NULL,NULL,NULL,NULL,NULL
"NZD1.00400GLS003","GLS","glass: colourless",508.00,"beer stein",NULL,1975,2005,-7.21,-8.99,"Food Processing & Consumption","Consumption: drinking","Beer stein",NULL,"gl-bek","colourless","Netherlands",NULL,100,110.00,NULL,NULL,NULL
"NZD1.00400GLS004","GLS","glass: colourless",18.00,"lemonade bottle",NULL,1946,2005,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Lemonade bottle",NULL,"gl-fle-225","colourless","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00400GLS005","GLS","glass",93.00,"bottle",NULL,1950,2000,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","emerald green","western Europe",NULL,40,NULL,NULL,NULL,NULL
"NZD1.00400GLS006","GLS","glass",156.00,"bottle",NULL,1950,2000,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","red brown","western Europe",NULL,70,NULL,NULL,NULL,NULL
"NZD1.00400GLS007","GLS","glass",43.00,"bottle",NULL,1900,2000,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","light green","western Europe",NULL,15,NULL,NULL,NULL,NULL
"NZD1.00400GLS008","GLS","glass: colourless",54.00,"bottle",NULL,1950,2000,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless","western Europe",125.00,10,NULL,NULL,NULL,NULL
"NZD1.00400GLS009","GLS","glass: forest-glass",18.00,"roemer",NULL,1625,1725,-7.21,-8.99,"Food Processing & Consumption","Consumption: drinking","Roemer",NULL,"gl-roe","light green","Netherlands/Germany",NULL,15,NULL,NULL,"applique, raspberry prunts",NULL
"NZD1.00400GLS010","GLS","glass",17.00,"window glass",NULL,1500,1800,-7.21,-8.99,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","light green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00400GLS011","GLS","glass",4.00,"window glass",NULL,1500,1800,-7.21,-8.99,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","blue green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00400GLS012","GLS","glass: colourless",6.00,"window glass",NULL,1850,2000,-7.21,-8.99,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00400GLS013","GLS","glass",90.00,"wine bottle",NULL,1675,1775,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00411GLS002","GLS","glass",0.10,"bead",NULL,1600,1800,-7.15,-9.07,"Personal Artefacts & Clothing","Body adornment","Bead",NULL,"gl-kra","opaque green",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00411GLS003","GLS","glass",0.30,"bead",NULL,1600,1800,-7.15,-9.07,"Personal Artefacts & Clothing","Body adornment","Bead",NULL,"gl-kra","black",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00412GLS001","GLS","glass",22.00,NULL,NULL,1500,1800,-7.15,-9.07,"Food Processing & Consumption","Consumption: drinking",NULL,NULL,"gl","light green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00412GLS002","GLS","glass: colourless",8.00,"medicine bottle",NULL,1875,1950,-7.15,-9.07,"Personal Artefacts & Clothing","Medical care: medicament","Medicinal bottle",NULL,"gl-fle-14","colourless, with a hint of green","Netherlands",50.00,NULL,NULL,NULL,NULL,NULL
"NZD1.00412GLS003","GLS","glass: colourless",7.00,"marble",NULL,1900,1950,-7.15,-9.07,"Games & Recreation","Marbles","Marble (glass)",NULL,"gl-kni","colourless, with a hint of blue","Germany",NULL,NULL,17.00,NULL,NULL,NULL
"NZD1.00412GLS004","GLS","glass: colourless",14.00,"bottle",NULL,1950,2000,-7.15,-9.07,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00412GLS005","GLS","glass: forest-glass",15.00,"roemer",NULL,1625,1725,-7.15,-9.07,"Food Processing & Consumption","Consumption: drinking","Roemer",NULL,"gl-roe","light green","Netherlands/Germany",NULL,NULL,NULL,NULL,"applique, raspberry prunts",NULL
"NZD1.00415GLS001","GLS","glass",10.00,"wine bottle",NULL,1700,1775,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00415GLS002","GLS","glass: colourless",13.00,"bottle",NULL,1950,2000,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00415GLS003","GLS","glass",33.00,"bottle",NULL,1950,2000,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","emerald green","western Europe",15.00,15,NULL,NULL,NULL,NULL
"NZD1.00415GLS004","GLS","glass",61.00,"bottle",NULL,1950,2000,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","red brown","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00415GLS005","GLS","glass: colourless",17.00,"bottle",NULL,1900,2000,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless, with a hint of green","western Europe",NULL,15,NULL,NULL,NULL,NULL
"NZD1.00415GLS006","GLS","glass: colourless",13.00,"window glass",NULL,1850,2000,-7.21,-8.99,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00415GLS007","GLS","glass",9.00,"bottle",NULL,1900,2000,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00416GLS001","GLS","glass",9.00,"feeding bottle",NULL,1700,1800,-7.21,-8.99,"Food Processing & Consumption","Consumption: drinking","Feeding bottle (glass)",NULL,"gl-fle-86","green","Netherlands/Germany",NULL,15,NULL,NULL,NULL,NULL
"NZD1.00416GLS002","GLS","glass",18.00,"beer bottle",NULL,1950,2000,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Beer bottle",NULL,"gl-fle","red brown","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00416GLS003","GLS","glass",10.00,"wine bottle",NULL,1725,1775,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",50.00,NULL,NULL,NULL,NULL,NULL
"NZD1.00416GLS004","GLS","glass",21.00,"gin bottle",NULL,1850,1900,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Bottle for distilled beverage",NULL,"gl-fle","green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00416GLS005","GLS","glass: colourless",24.00,"goblet",NULL,1700,1750,-7.21,-8.99,"Food Processing & Consumption","Consumption: drinking","Goblet",NULL,"gl-kel-2","colourless","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00416GLS006","GLS","glass: colourless",6.00,"goblet",NULL,1850,1950,-7.21,-8.99,"Food Processing & Consumption","Consumption: drinking","Goblet",NULL,"gl-kel","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00416GLS007","GLS","glass: colourless",7.00,"bottle",NULL,1800,1900,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless","western Europe",100.00,NULL,NULL,NULL,NULL,NULL
"NZD1.00416GLS008","GLS","glass: colourless",9.00,"car light",NULL,1950,2000,-7.21,-8.99,"Distribution & Transport","Transport, car",NULL,NULL,"gl","colourless",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00416GLS009","GLS","glass",133.00,"wine bottle",NULL,1775,1825,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-128","brown green","the Netherlands",NULL,20,NULL,NULL,NULL,NULL
"NZD1.00416GLS010","GLS","glass",5.00,"lemonade bottle",NULL,1953,2005,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Lemonade bottle",NULL,"gl-fle-214","emerald green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00416GLS011","GLS","glass",102.00,"bottle",NULL,1950,2000,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","emerald green","western Europe",10.00,25,NULL,NULL,NULL,NULL
"NZD1.00416GLS012","GLS","glass",76.00,"bottle",NULL,1950,2000,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","red brown","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00416GLS013","GLS","glass",15.00,"bottle",NULL,1900,2000,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","light green","western Europe",NULL,10,NULL,NULL,NULL,NULL
"NZD1.00416GLS014","GLS","glass",56.00,"bottle",NULL,1800,1900,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","brown green","western Europe",NULL,10,NULL,NULL,NULL,NULL
"NZD1.00416GLS015","GLS","glass: colourless",5.00,"bottle",NULL,1900,2000,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless, with a hint of green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00416GLS016","GLS","glass: colourless",223.00,"bottle",NULL,1950,2000,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless","western Europe",NULL,80,NULL,NULL,NULL,NULL
"NZD1.00416GLS017","GLS","glass",3.00,NULL,NULL,1900,2005,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general",NULL,NULL,"gl","emerald green","Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00416GLS018","GLS","glass",9.00,"window glass",NULL,1500,1800,-7.21,-8.99,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","light green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00416GLS019","GLS","glass",10.00,"case-bottle",NULL,1575,1700,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Bottle for distilled beverage, case-bottle",NULL,"gl-fle-7","light green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00416GLS020","GLS","glass: colourless",85.00,"beaker/mug",NULL,1950,2000,-7.21,-8.99,"Food Processing & Consumption","Consumption: drinking","Beaker (glass)",NULL,"gl-bek","colourless","western Europe",NULL,90,NULL,NULL,NULL,NULL
"NZD1.00416GLS021","GLS","glass: colourless",32.00,"window glass",NULL,1850,2000,-7.21,-8.99,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00416GLS022","GLS","glass",128.00,"bottle",NULL,1850,2000,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00416GLS023","GLS","glass",439.00,"wine bottle",NULL,1675,1775,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00417GLS001","GLS","glass",50.00,"wine bottle",NULL,1700,1750,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,10,NULL,NULL,NULL,NULL
"NZD1.00417GLS002","GLS","glass",18.00,NULL,NULL,1550,1700,-7.21,-8.99,"Not classified",NULL,NULL,NULL,"gl","light blue green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00417GLS003","GLS","glass: forest-glass",3.00,"maigelein (palm cup)",NULL,1400,1500,-7.21,-8.99,"Food Processing & Consumption","Consumption: drinking",NULL,NULL,"gl-mai-1","light green","Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00417GLS004","GLS","glass",33.00,"bottle",NULL,1950,2000,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","emerald green","western Europe",15.00,NULL,NULL,NULL,NULL,NULL
"NZD1.00417GLS005","GLS","glass",45.00,"bottle",NULL,1950,2000,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","red brown","western Europe",NULL,5,NULL,NULL,NULL,NULL
"NZD1.00417GLS006","GLS","glass: colourless",21.00,"bottle",NULL,1900,2000,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless, with a hint of green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00417GLS007","GLS","glass: colourless",14.00,"bottle",NULL,1950,2000,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless","western Europe",NULL,10,NULL,NULL,NULL,NULL
"NZD1.00417GLS008","GLS","glass",1.00,"window glass",NULL,1500,1800,-7.21,-8.99,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","light green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00417GLS009","GLS","glass: colourless",40.00,"beaker/mug",NULL,1950,2000,-7.21,-8.99,"Food Processing & Consumption","Consumption: drinking","Beaker (glass)",NULL,"gl-bek","colourless","western Europe",NULL,15,NULL,NULL,NULL,NULL
"NZD1.00417GLS010","GLS","glass: colourless",19.00,"window glass",NULL,1850,2000,-7.21,-8.99,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00417GLS011","GLS","glass",25.00,"bottle",NULL,1800,1900,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00417GLS012","GLS","glass",92.00,"wine bottle",NULL,1675,1775,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,10,NULL,NULL,NULL,NULL
"NZD1.00418GLS001","GLS","glass",2.00,"bottle",NULL,1900,2000,-7.21,-9.07,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00418GLS002","GLS","glass",13.00,"medicine bottle",NULL,1650,1800,-7.21,-9.07,"Personal Artefacts & Clothing","Medical care: medicament","Medicinal bottle",NULL,"gl-fle","green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00425GLS001","GLS","glass",278.00,"wine bottle",NULL,1690,1725,-7.21,-9.07,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","Netherlands/Germany",NULL,70,NULL,NULL,NULL,NULL
"NZD1.00425GLS002","GLS","glass",150.00,"bottle",NULL,1850,1900,-7.21,-9.07,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle-27","brown green","Netherlands",NULL,40,NULL,NULL,NULL,NULL
"NZD1.00433GLS001","GLS","glass: forest-glass",50.00,"maigelein (palm cup)",NULL,1500,1550,-7.80,-9.91,"Food Processing & Consumption","Consumption: drinking",NULL,NULL,"gl-mai-2","blue","the southern Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00440GLS001","GLS","glass",26.00,"wine bottle",NULL,1750,1850,-7.65,-9.91,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","yellow green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00440GLS002","GLS","glass",26.00,NULL,NULL,1800,1950,-7.65,-9.91,"Not classified",NULL,NULL,NULL,"gl","aquamarine","Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00440GLS003","GLS","glass",9.00,"window glass",NULL,1500,1800,-7.65,-9.91,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","light green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00440GLS004","GLS","glass: opaline",5.00,NULL,NULL,1600,1800,-7.65,-9.91,"Not classified",NULL,NULL,NULL,"gl","blue on white","Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00440GLS005","GLS","glass",12.00,"bottle",NULL,1950,2000,-7.65,-9.91,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","emerald green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00440GLS006","GLS","glass",24.00,"bottle",NULL,1950,2000,-7.65,-9.91,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","red brown","western Europe",NULL,45,NULL,NULL,NULL,NULL
"NZD1.00440GLS007","GLS","glass: colourless",12.00,"bottle",NULL,1950,2000,-7.65,-9.91,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00440GLS008","GLS","glass",43.00,"bottle",NULL,1875,1950,-7.65,-9.91,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00442GLS001","GLS","glass: colourless",17.00,"goblet",NULL,1900,2000,-7.21,-9.07,"Food Processing & Consumption","Consumption: drinking","Goblet",NULL,"gl-kel","colourless","western Europe",NULL,25,NULL,NULL,NULL,NULL
"NZD1.00442GLS002","GLS","glass",7.00,"bicycle lamp",NULL,1900,1975,-7.21,-9.07,"Distribution & Transport","Transport, bicycle","Rear light",NULL,"gl-lam","red","Netherlands",45.00,NULL,40.00,8.00,NULL,NULL
"NZD1.00442GLS003","GLS","glass",9.00,NULL,NULL,1600,1800,-7.21,-9.07,"Not classified",NULL,NULL,NULL,"gl","light yellow green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00442GLS004","GLS","glass: forest-glass",9.00,NULL,NULL,1550,1650,-7.21,-9.07,"Food Processing & Consumption","Consumption: drinking",NULL,NULL,"gl","blue green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00442GLS005","GLS","glass: colourless",9.00,"lemonade bottle",NULL,1946,2005,-7.21,-9.07,"Food Processing & Consumption","Supplies, liquids general","Lemonade bottle",NULL,"gl-fle-225","colourless","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00442GLS006","GLS","glass",18.00,"bottle",NULL,1950,2000,-7.21,-9.07,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","emerald green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00442GLS007","GLS","glass",35.00,"bottle",NULL,1950,2000,-7.21,-9.07,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","red brown","western Europe",NULL,5,NULL,NULL,NULL,NULL
"NZD1.00442GLS008","GLS","glass: colourless",9.00,"bottle",NULL,1950,2000,-7.21,-9.07,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00442GLS009","GLS","glass: forest-glass",5.00,"roemer",NULL,1625,1725,-7.21,-9.07,"Food Processing & Consumption","Consumption: drinking","Roemer",NULL,"gl-roe","light green","Netherlands/Germany",NULL,NULL,NULL,NULL,"applique, raspberry prunts",NULL
